slug,url,kind,status,title,high,medium,low,priority,manual_review,findings
"best-office-chair-for-back-pain","/chairs/best-office-chair-for-back-pain","rich","not rewritten","8 Best Office Chairs for Back Pain in 2026","1","5","2","57","yes","[low] R14 missing Skip if: 8/8 products ; [medium] Price in prose ≠ price field: CLOUVOU Ergonomic Office Chair: $239 vs $299.99 ; [medium] R26 SEO-style meta description: Best office chairs for back pain in 2026. Ergonomic chairs with adjustable lumbar support  ; [medium] R31 template phrase: 20× at pricing is | a genuine advantage here | at a competitive price | neither should be a surprise ; [high] Star rating in prose: 4× 4.8 stars ; [medium] R41 usage threshold: 1× all-day use ; [medium] R5 title identical to sister site: 8 Best Office Chairs for Back Pain in 2026 ; [low] R6 formulaic title: 8 Best Office Chairs for Back Pain in 2026"
"best-executive-office-chair","/chairs/best-executive-office-chair","rich","not rewritten","8 Best Executive Office Chairs in 2026","1","4","2","54","yes","[low] R14 missing Skip if: 8/8 products ; [medium] R26 SEO-style meta description: Best executive office chairs in 2026. High-back leather and premium fabric chairs ranked f ; [medium] R31 template phrase: 20× at pricing is | neither should be a surprise | at a budget-friendly price | that's a real strength ; [high] Star rating in prose: 7× 4.6 stars | 4.6 star | 4.0 star ; [medium] R41 usage threshold: 2× all-day use | 6-plus hours daily ; [medium] R5 title identical to sister site: 8 Best Executive Office Chairs in 2026 ; [low] R6 formulaic title: 8 Best Executive Office Chairs in 2026"
"best-mesh-office-chair","/chairs/best-mesh-office-chair","rich","not rewritten","8 Best Mesh Office Chairs in 2026","1","4","2","54","yes","[low] R14 missing Skip if: 8/8 products ; [medium] R26 SEO-style meta description: Best mesh office chairs in 2026. Breathable mesh back ergonomic chairs ranked by lumbar su ; [medium] R31 template phrase: 21× at pricing is | at a budget-friendly price | worth calling out specifically | set against that ; [high] Star rating in prose: 1× 4.0 stars ; [medium] R41 usage threshold: 2× all-day use | 6-plus hours daily ; [medium] R5 title identical to sister site: 8 Best Mesh Office Chairs in 2026 ; [low] R6 formulaic title: 8 Best Mesh Office Chairs in 2026"
"best-standing-desk-for-dual-monitors","/guide/best-standing-desk-for-dual-monitors","hand-authored page","not rewritten","8 Best Standing Desks for Dual Monitors in 2026","1","3","2","46","yes","[low] Legacy affiliate-style layout: old card/orange styling in page markup ; [medium] R31 template phrase: 18× at a competitive price | that's a real strength | weigh it against the flip side | worth calling out specifically ; [high] Star rating in prose: 8× 4.7 stars | 4.3 stars | 4.5 stars | 4.4 stars ; [medium] R26 SEO-style meta description: Best standing desks for dual monitors in 2026. Wide 55 to 72 inch electric desks with bamb ; [medium] R5 title identical to sister site: 8 Best Standing Desks for Dual Monitors in 2026 ; [low] R6 formulaic title: 8 Best Standing Desks for Dual Monitors in 2026"
"best-monitor-light-bars-for-curved-monitors","/guide/best-monitor-light-bars-for-curved-monitors","hand-authored page","not rewritten","8 Best Monitor Light Bars for Curved Monitors (2026)","1","3","1","45","yes","[low] Legacy affiliate-style layout: old card/orange styling in page markup ; [medium] R31 template phrase: 5× at a competitive price | at pricing is ; [high] Star rating in prose: 22× 4.5 stars | 4.7 stars | 4.6 stars | 4.4 stars ; [medium] R26 SEO-style meta description: Best monitor light bars for curved monitors in 2026. Curved-compatible bars for 1000R, 150 ; [medium] R5 title identical to sister site: 8 Best Monitor Light Bars for Curved Monitors (2026)"
"best-monitor-light-bars","/guide/best-monitor-light-bars","hand-authored page","not rewritten","8 Best Monitor Light Bars (2026)","1","3","1","45","yes","[low] Legacy affiliate-style layout: old card/orange styling in page markup ; [medium] R31 template phrase: 6× at a competitive price | at a budget-friendly price ; [high] Star rating in prose: 24× 4.6 stars | 4.5 stars | 4.7 stars | 4.4 stars ; [medium] R40 a/an grammar: 1× a or ; [medium] R26 SEO-style meta description: Best monitor light bars in 2026. Budget USB bars, premium BenQ options with auto-dimming d"
"best-adjustable-under-desk-footrests","/guide/best-adjustable-under-desk-footrests","hand-authored page","not rewritten","8 Best Adjustable Under-Desk Footrests (2026)","1","3","1","45","yes","[low] Legacy affiliate-style layout: old card/orange styling in page markup ; [medium] R31 template phrase: 2× at a budget-friendly price ; [high] Star rating in prose: 18× 4.4 stars | 4.6 stars | 4.6-star | 4.6 star ; [medium] R26 SEO-style meta description: Best adjustable under-desk footrests in 2026. Height-adjustable, angle-adjustable, and mul ; [medium] R5 title identical to sister site: 8 Best Adjustable Under-Desk Footrests (2026)"
"best-under-desk-footrests","/guide/best-under-desk-footrests","hand-authored page","not rewritten","8 Best Under-Desk Footrests (2026)","1","3","1","45","yes","[low] Legacy affiliate-style layout: old card/orange styling in page markup ; [medium] R31 template phrase: 14× that's a real strength | weigh it against the flip side | worth calling out specifically | set against that ; [high] Star rating in prose: 20× 4.5 stars | 4.6 stars | 4.2 stars | 4.7 stars ; [medium] R26 SEO-style meta description: Best under-desk footrests in 2026. Memory foam, rocker, bamboo, and mesh models ranked by  ; [medium] R5 title identical to sister site: 8 Best Under-Desk Footrests (2026)"
"best-vertical-laptop-stands","/guide/best-vertical-laptop-stands","hand-authored page","not rewritten","8 Best Vertical Laptop Stands (2026)","1","3","1","45","yes","[low] Legacy affiliate-style layout: old card/orange styling in page markup ; [medium] R31 template phrase: 12× worth calling out specifically | set against that | both matter when comparing | a genuine advantage here ; [high] Star rating in prose: 18× 4.8 stars | 4.7 stars | 4.6 stars ; [medium] R26 SEO-style meta description: Best vertical laptop stands in 2026. Aluminum holders, adjustable cradles, dual-slot organ ; [medium] R5 title identical to sister site: 8 Best Vertical Laptop Stands (2026)"
"best-cable-management-boxes-for-desks","/guide/best-cable-management-boxes-for-desks","hand-authored page","not rewritten","8 Best Cable Management Boxes for Desks (2026)","1","3","1","45","yes","[low] Legacy affiliate-style layout: old card/orange styling in page markup ; [medium] R31 template phrase: 16× at a competitive price | worth calling out specifically | set against that | both matter when comparing ; [high] Star rating in prose: 30× 4.5 stars | 4.6 stars | 4.4 stars | 4.7 stars ; [medium] R26 SEO-style meta description: Best cable management boxes for desks in 2026. Power strip organizers and under-desk trays ; [medium] R5 title identical to sister site: 8 Best Cable Management Boxes for Desks (2026)"
